Question,Type,CorrectAnswer,Option1,Option2,Option3,Option4
"Ноғай Ордасын 15 жыл бойы әмір мәртебесінде іс жүзінде басқарған билеуші кім?",single-choice,"Едіге","Едіге","Мұса","Тоқтамыс","Орыс хан"
"Ноғай Ордасының астанасы қай жерде орналасты?",single-choice,"Сарайшық","Сығанақ","Түркістан","Сарайшық","Тараз"
"1457 жылы Әбілқайыр ханды кімдер жеңді?",single-choice,"Ойраттар","Ойраттар","Темір әулеті","Қытайлар","Орыс кінәздіктері"
"Қазақ хандығының құрылуына әкелген Әбілқайыр ханнан бөлініп көшуді кімдер басқарды?",single-choice,"Керей мен Жәнібек","Қасым мен Хақназар","Керей мен Жәнібек","Есім мен Тәуке","Абылай мен Әбілқайыр"
"Батыс Жетісудан Керей мен Жәнібекке жер берген мемлекет билеушісі кім?",single-choice,"Моғолстан (Есен-Бұға)","Алтын Орда","Темір мемлекеті","Моғолстан (Есен-Бұға)","Ноғай Ордасы"
"Дәріс бойынша «Қазақ» сөзі қандай мағына береді?",single-choice,"«Еркін», «азат», «бөлініп шыққан»","«Жауынгер»","«Көшпенді»","«Еркін», «азат», «бөлініп шыққан»","«Егінші»"
"Мұхаммед Хайдар Дулати Қазақ хандығының құрылуын қай кезеңге жатқызады?",single-choice,"1465-1466 жж.","1219-1220 жж.","1380-1390 жж.","1465-1466 жж.","1511-1520 жж."
"1480 жылы Қазақ хандығының ханы кім болды (Керейдің ұлы)?",single-choice,"Бұрындық","Қасым","Бұрындық","Тахир","Шығай"
"Қасым хан қай жылдары билік етті?",single-choice,"1511–1518","1456–1473","1480–1511","1511–1518","1538–1580"
"Қазақ хандығында «Ақ сүйек» сословиесіне кімдер жатты?",single-choice,"Шыңғыс ұрпақтары (хандар, сұлтандар)","Билер мен батырлар","Шыңғыс ұрпақтары (хандар, сұлтандар)","Қарапайым көшпенділер","Қолөнершілер"
"Хандықтың салық жүйесінде «тағар» деген не?",single-choice,"Әскерді азық-түлікпен қамтамасыз ету салығы","Жан салығы","Жер салығы","Әскерді азық-түлікпен қамтамасыз ету салығы","Сауда бажы"
"Орта жүз құрамына қандай тайпалар кірді?",single-choice,"Арғын, Найман, Қыпшақ, Керей","Дулат, Үйсін, Жалайыр","Арғын, Найман, Қыпшақ, Керей","Әлімұлы, Байұлы, Жетіру","Адай, Табын, Тама"
"Кіші жүз аумақтық жағынан қай жерде орналасты?",single-choice,"Батыс Қазақстан (Орал мен Еділ аралығы)","Жетісу","Орталық және Шығыс Қазақстан","Батыс Қазақстан (Орал мен Еділ аралығы)","Оңтүстік Қазақстан"
"Қазақ халқының этногенезінде «Халықтардың ұлы қоныс аударуы» ықпал еткен және монғолоидтық белгілер пайда болған кезең?",single-choice,"Ғұн кезеңі","Қола дәуірі","Ғұн кезеңі","Түркі кезеңі","Қазақ хандығы кезеңі"
